000725 京东方Ａ 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	4.33	4.40	4.24	4.31	29022067	150718096.00
2010/01/05	4.31	4.45	4.30	4.42	56823694	301031360.00
2010/01/06	4.42	4.48	4.37	4.40	55283769	294746656.00
2010/01/07	4.40	4.53	4.31	4.39	60127241	320363424.00
2010/01/08	4.42	4.60	4.35	4.52	81438774	440100960.00
2010/01/11	4.52	4.64	4.47	4.54	150390937	826464768.00
2010/01/12	4.51	4.56	4.42	4.51	56279772	303917248.00
2010/01/13	4.41	4.58	4.37	4.44	54025225	291382048.00
2010/01/14	4.44	4.67	4.44	4.66	160501328	887918400.00
2010/01/15	4.72	4.73	4.57	4.62	81631992	455191776.00
2010/01/18	4.62	4.72	4.52	4.64	80781734	449933088.00
2010/01/19	4.66	4.67	4.55	4.56	50761090	279849920.00
2010/01/20	4.56	4.58	4.26	4.31	66121429	350978144.00
2010/01/21	4.30	4.37	4.26	4.31	41566546	215096144.00
2010/01/22	4.24	4.27	4.15	4.25	35696210	180763248.00
2010/01/25	4.26	4.29	4.19	4.20	16994655	86588232.00
2010/01/26	4.23	4.23	4.03	4.06	24496534	121205064.00
2010/01/27	4.05	4.12	4.01	4.04	17374097	84971928.00
2010/01/28	4.04	4.10	4.01	4.07	16050971	78281216.00
2010/01/29	4.05	4.08	3.98	4.02	32185959	156173824.00
2010/02/01	4.02	4.02	3.76	3.81	31846655	147771808.00
2010/02/02	3.84	3.88	3.82	3.82	22286291	102966840.00
2010/02/03	3.83	3.87	3.66	3.86	30674470	139855616.00
2010/02/04	3.83	3.91	3.79	3.86	27536600	127643448.00
2010/02/05	3.78	3.82	3.72	3.77	23762201	107703800.00
2010/02/08	3.77	3.83	3.74	3.79	14157574	64498736.00
2010/02/09	3.80	4.17	3.77	4.01	66105519	319638720.00
2010/02/10	3.97	4.04	3.92	4.02	20539847	98352512.00
2010/02/11	4.02	4.17	3.97	3.97	23895985	115894568.00
2010/02/12	3.97	4.02	3.94	3.98	28479302	135832480.00
2010/02/22	3.96	4.01	3.94	3.97	15001380	71754368.00
2010/02/23	3.97	3.97	3.84	3.93	18286462	85752992.00
2010/02/24	3.90	4.01	3.88	4.01	20202449	96364416.00
2010/02/25	4.02	4.12	4.00	4.07	31774159	154899792.00
2010/02/26	4.06	4.10	4.03	4.06	20999245	102752680.00
2010/03/01	4.07	4.13	4.03	4.11	29559431	145133312.00
2010/03/02	4.11	4.18	4.06	4.17	36321421	180077088.00
2010/03/03	4.15	4.19	4.12	4.16	33996471	170093808.00
2010/03/04	4.16	4.20	3.97	3.97	39072282	191750224.00
2010/03/05	4.00	4.15	3.96	4.09	37368629	182392320.00
2010/03/08	4.07	4.12	4.06	4.07	24490967	120452600.00
2010/03/09	4.07	4.07	4.00	4.05	20145610	97879352.00
2010/03/10	4.05	4.08	3.92	3.97	25262921	121292384.00
2010/03/11	3.97	3.99	3.89	3.93	19176772	90754184.00
2010/03/12	3.92	3.95	3.87	3.87	16725383	78692800.00
2010/03/15	3.87	3.89	3.81	3.83	13689717	63246960.00
2010/03/16	3.86	3.95	3.85	3.92	17920180	84143376.00
2010/03/17	3.93	4.02	3.90	4.01	23338776	111512808.00
2010/03/18	4.02	4.14	3.99	4.05	38873649	190596800.00
2010/03/19	4.06	4.06	3.99	4.04	21431104	103697512.00
2010/03/22	4.04	4.16	4.02	4.12	43340373	213444416.00
2010/03/23	4.12	4.12	4.02	4.04	26286609	128306472.00
2010/03/24	4.02	4.07	4.02	4.03	18621920	90497360.00
2010/03/25	4.02	4.03	3.92	3.94	18861230	89804496.00
2010/03/26	3.93	4.02	3.92	3.99	13038460	62246472.00
2010/03/29	3.99	4.05	3.98	4.02	19639982	94947320.00
2010/03/30	4.02	4.06	4.02	4.03	16420387	79704000.00
2010/04/01	4.05	4.20	4.03	4.12	58292256	289591840.00
2010/04/02	4.12	4.27	4.08	4.20	62459344	314584512.00
2010/04/06	4.20	4.22	4.12	4.17	35505527	177899984.00
2010/04/07	4.18	4.26	4.15	4.19	29791474	150652016.00
2010/04/08	4.17	4.19	4.11	4.14	30450603	151699520.00
2010/04/09	4.17	4.34	4.17	4.29	65211805	333616704.00
2010/04/12	4.28	4.29	4.22	4.27	35708644	182586016.00
2010/04/13	4.27	4.31	4.08	4.17	42278179	213265472.00
2010/04/14	4.20	4.26	4.14	4.20	29381143	148547088.00
2010/04/15	4.20	4.20	4.09	4.12	32286796	160665536.00
